epsilon_progress,nfe
0,0
4,100
13,1194
59,2288
271,3385
417,4481
551,5577
652,6673
750,7770
834,8867
911,9962
1098,11340
1282,12718
1446,14096
1597,15474
1741,16854
1862,18233
1982,19612
2096,20991
2218,22368
2310,23747
2396,25127
0,0
1,100
9,1195
128,2287
424,3386
655,4477
859,5572
1003,6669
1128,7762
1208,8858
1278,9952
1424,11173
1529,12396
1615,13614
1686,14833
1754,16052
1821,17275
1892,18495
1936,19712
1973,20930
2012,22152
2049,23372
2090,24585
2106,25197
0,0
3,100
10,1189
19,2283
257,3380
483,4476
643,5573
783,6664
893,7759
975,8856
1034,9951
1281,11433
1472,12913
1653,14396
1823,15880
1966,17363
2123,18843
2273,20326
2406,21809
2545,23290
2672,24772
2815,26253
