0_RfR 0,0_RfR 1,0_RfR 2,0_RfR 3,0_RfR 4,1_RfR 0,1_RfR 1,1_RfR 2,1_RfR 3,1_RfR 4,2_RfR 0,2_RfR 1,2_RfR 2,2_RfR 3,2_RfR 4,3_RfR 0,3_RfR 1,3_RfR 2,3_RfR 3,3_RfR 4,4_RfR 0,4_RfR 1,4_RfR 2,4_RfR 3,4_RfR 4,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.1_DikeIncrease 3,A.1_DikeIncrease 4,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.2_DikeIncrease 3,A.2_DikeIncrease 4,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.3_DikeIncrease 3,A.3_DikeIncrease 4,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.4_DikeIncrease 3,A.4_DikeIncrease 4,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.5_DikeIncrease 3,A.5_DikeIncrease 4,Total_period_Costs_0,Total_period_Costs_1,Expected Annual Damage A1_,Expected Annual Damage A2_,Expected Annual Damage A3_,Total Costs,Expected Number of Deaths_
0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,3,23676682.046532914,68215642.8733005,0.0,16233365.489625815,0.0,392183412.4815155,0.008032046500962923
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,3,0,1,0,0,5,0,0,0,0,5,0,0,5,0,4,0,0,0,0,158674662.26462677,332474.09036411444,0.0,664895.9527321006,0.0,287798239.75368655,0.0005846515117698753
0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,3,0,0,0,0,0,7,1,0,2,0,0,1,68332308.63838091,85329132.2389081,0.0,0.0,0.0,459712020.6851038,0.0585787421176034
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,3,0,0,0,0,2,0,0,0,1,0,3,7,0,3,0,0,0,58651297.84972236,95323624.20176858,115831722.52642706,1469699.5656823637,0.0,470151480.67928517,0.043874327432352755
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,1,0,0,7,0,0,0,0,4,0,0,0,1,89673474.87666273,17836674.08660501,0.0,36667838.78300723,0.0,322741231.71641153,0.006023945605078268
0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,7,0,3,0,0,3,0,75654199.06434435,6149265.3253563205,0.0,26627050.74792818,1647710.3515413688,347987060.75653505,0.04081208407560112
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,64671184.13955808,163062250.3181068,57915861.26321353,1189185.742959352,6998303.739813531,336648886.76691335,0.09986525026526148
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,91145579.38556483,22360263.47757959,0.0,90359759.02316809,0.0,203038770.16597864,0.15344335569989392
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,4,16805763.804312337,16805763.804312337,0.0,11715196.800276432,7339709.825065628,434093368.59428066,0.009816990095157898
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,67948160.05256508,41245503.469509035,0.0,26627050.74792818,4119275.8788534217,232939579.29652387,0.0776120186273071
