0_RfR 0,0_RfR 1,0_RfR 2,0_RfR 3,0_RfR 4,1_RfR 0,1_RfR 1,1_RfR 2,1_RfR 3,1_RfR 4,2_RfR 0,2_RfR 1,2_RfR 2,2_RfR 3,2_RfR 4,3_RfR 0,3_RfR 1,3_RfR 2,3_RfR 3,3_RfR 4,4_RfR 0,4_RfR 1,4_RfR 2,4_RfR 3,4_RfR 4,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.1_DikeIncrease 3,A.1_DikeIncrease 4,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.2_DikeIncrease 3,A.2_DikeIncrease 4,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.3_DikeIncrease 3,A.3_DikeIncrease 4,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.4_DikeIncrease 3,A.4_DikeIncrease 4,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.5_DikeIncrease 3,A.5_DikeIncrease 4,Total_period_Costs_0,Total_period_Costs_1,Expected Annual Damage A4_,Expected Annual Damage A5_,Total Costs,Expected Number of Deaths_
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,4,0,0,0,0,5,0,0,1,0,5,0,0,0,0,189776855.4587686,13812822.639855493,770682.0089473858,3872985.350413679,342283013.4100622,0.09366659088290641
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,0,0,5,0,0,0,0,193804026.2328025,12468763.081841495,3814470.704323703,0.0,299905646.15206695,0.09446220973522582
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,3,0,0,0,0,5,1,2,0,0,5,0,0,0,0,182382085.57298392,53814104.662937455,269925.39649683237,8099576.302141316,377688979.5425916,0.09740203989836888
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,4,0,0,0,0,6,0,0,0,0,5,0,0,0,0,192914158.3937894,15432439.262352645,0.0,0.0,309640819.8921918,0.11165835716658988
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,2,0,0,0,0,3,0,0,0,0,5,0,0,2,0,5,0,0,0,0,182382989.40880314,44348587.57243739,772444.4781079402,3893557.3828156185,366216876.8737506,0.011005446813080364
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,4,0,0,0,0,5,0,1,0,0,5,0,0,0,0,189776855.4587686,13812822.639855493,538619.0276035066,5809478.025620518,343987443.10392517,0.0964951768846014
0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,1,0,5,0,0,0,0,180934661.35116184,12468763.081841495,2844855.608922796,0.0,377896715.3048305,0.09363279655480375
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,4,0,0,0,0,5,0,1,0,0,5,0,0,0,0,191665781.5950675,15701748.776154399,538619.0276035066,0.0,316138858.7021699,0.1120887187543408
0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,5,0,0,0,0,4,0,0,0,0,5,0,0,0,0,181570180.13565916,10709264.278036334,3814470.704323703,0.0,365963841.0168181,0.07150508046273336
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,1,0,0,5,0,0,0,0,193804026.2328025,12468763.081841495,2360048.0612223423,0.0,305681272.63877064,0.09321808996459272
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,5,0,0,0,0,4,0,1,1,0,5,0,0,0,0,191490344.10026902,14504870.017142836,1895922.0985345836,3852179.484837246,321532373.8100458,0.09622891752418684
0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,6,0,0,5,0,0,0,0,180935455.76946568,12469557.500145335,1663859.1171907042,0.0,383886461.17178833,0.013885882137444952
0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,1,0,0,6,0,0,0,0,171280357.35693496,14370509.411477406,2360048.0612223423,0.0,459175653.19172585,0.0367177349983973
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,4,0,0,0,0,5,0,0,0,0,5,0,0,0,0,192726056.3757994,10017216.90074899,1234807.9716351442,0.0,320738666.1196025,0.06766383452771992
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,1,0,0,5,0,0,0,0,190855355.96536726,16264899.470543528,2360048.0612223423,0.0,316342222.89325124,0.040882922753900125
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,4,0,0,0,0,5,0,0,1,1,5,0,1,0,0,192726056.3757994,10017216.90074899,770682.0089473858,0.0,365101688.63085556,0.067233472939969
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,1,0,0,5,0,0,0,0,189274706.34965286,15516020.621684821,538619.0276035066,0.0,343782279.63759017,0.01309493023959831
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,1,1,1,0,5,0,0,0,0,190855919.78056252,22932834.069834087,1101239.0723971054,0.0,330295717.3916506,0.013500411041346218
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,192301300.37956482,13942249.972349238,1234807.9716351442,0.0,303685501.29769516,0.08977713186347473
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,4,0,0,0,0,5,0,0,1,0,5,0,0,0,0,184587432.66392896,44347683.73661819,772444.4781079402,3893557.3828156185,367221063.64678395,0.0917120567756697
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,3,0,0,0,0,5,0,0,0,0,4,0,3,0,0,5,0,0,0,0,194440416.59841347,10710135.859149974,1663859.1171907042,5778269.22725587,307535014.71605504,0.009443342329504237
0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,1,1,0,5,0,0,0,0,153709432.0321941,45997620.87269311,538619.0276035066,5175927.395008057,435642679.6683095,0.04968974184071601
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,3,0,0,0,0,5,0,7,0,0,5,0,0,0,0,182382085.57298392,44347683.73661819,539850.7929936647,5840336.074223428,376123425.4878803,0.09455704833701929
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,3,0,0,0,5,0,0,0,0,193804026.2328025,21306266.184689675,831929.5585953521,0.0,306592537.66778207,0.09194266019887984
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,3,0,0,0,0,5,0,0,0,0,5,0,0,2,0,5,0,0,0,0,195251314.57679302,40847457.51344013,770682.0089473858,3852179.484837246,305092982.54568195,0.009006470399036189
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,6,1,0,5,0,0,0,0,165768208.51555416,46560608.798501946,1663239.1658107336,5175927.395008057,371698802.0835453,0.016662680390845265
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,3,0,0,5,0,0,0,0,190854825.3157717,16264368.820947997,1663859.1171907042,0.0,318082849.034213,0.11291813193476287
0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,3,0,0,0,0,3,0,0,0,0,5,0,0,1,0,5,0,0,0,0,179353514.3284314,11719386.825966718,770682.0089473858,0.0,442479605.5227627,0.08899401510539819
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,3,0,0,5,0,0,0,0,193804026.2328025,12468763.081841495,1663859.1171907042,0.0,307424467.2263774,0.09257254758296633
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,2,0,0,0,0,0,0,1,0,0,7,0,1,1,0,6,0,0,0,0,173099727.93269452,45728675.2528786,0.0,0.0,382101626.6953335,0.017698587203542258
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,5,0,0,0,0,5,0,0,1,0,5,0,0,0,0,192301300.37956482,13942249.972349238,770682.0089473858,3852179.484837246,314550660.9147428,0.09539950434376478
0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,0,0,0,0,4,0,0,0,0,5,3,0,0,0,5,0,0,0,0,181746546.2774577,21637581.456229765,269309.5138017533,0.0,379469080.4357794,0.010983354433040257
