epsilon_progress,nfe
0,0
4,100
13,1195
19,2286
62,3382
140,4480
203,5576
259,6671
325,7766
362,8863
409,9956
541,11102
632,12251
696,13394
757,14542
823,15689
885,16837
930,17987
974,19135
1018,20283
1049,21433
1092,22582
1124,23733
1157,24877
1172,25452
0,0
3,100
12,1193
21,2287
77,3380
181,4478
238,5574
289,6672
317,7769
339,8863
367,9960
495,11274
575,12594
621,13919
699,15246
777,16565
842,17891
895,19214
935,20537
969,21865
1006,23188
1035,24515
1052,25178
0,0
3,100
13,1194
22,2285
119,3384
248,4482
368,5576
436,6673
491,7769
539,8867
582,9962
728,11099
840,12235
915,13375
969,14513
1029,15651
1085,16789
1137,17928
1180,19061
1216,20197
1260,21335
1293,22472
1325,23609
1349,24745
1360,25125
