epsilon_progress,nfe
0,0
5,100
14,1194
47,2288
182,3381
263,4469
324,5566
396,6662
437,7757
477,8851
526,9937
638,10985
708,12032
778,13077
828,14120
882,15163
927,16210
968,17257
1000,18303
1026,19349
1055,20397
1080,21445
1107,22492
1141,23537
1160,24584
1175,25108
0,0
7,100
15,1188
62,2282
148,3381
221,4477
299,5567
363,6665
413,7761
453,8854
515,9953
695,11222
809,12494
877,13762
926,15031
978,16303
1014,17574
1045,18845
1084,20116
1108,21387
1139,22658
1163,23930
1184,25200
0,0
4,100
12,1198
49,2288
193,3382
303,4480
358,5576
399,6672
431,7769
462,8865
493,9957
632,11279
720,12606
800,13930
865,15256
916,16578
971,17905
1009,19232
1050,20556
1094,21881
1133,23207
1172,24534
1194,25196
