0_RfR 0,0_RfR 1,0_RfR 2,0_RfR 3,0_RfR 4,1_RfR 0,1_RfR 1,1_RfR 2,1_RfR 3,1_RfR 4,2_RfR 0,2_RfR 1,2_RfR 2,2_RfR 3,2_RfR 4,3_RfR 0,3_RfR 1,3_RfR 2,3_RfR 3,3_RfR 4,4_RfR 0,4_RfR 1,4_RfR 2,4_RfR 3,4_RfR 4,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.1_DikeIncrease 3,A.1_DikeIncrease 4,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.2_DikeIncrease 3,A.2_DikeIncrease 4,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.3_DikeIncrease 3,A.3_DikeIncrease 4,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.4_DikeIncrease 3,A.4_DikeIncrease 4,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.5_DikeIncrease 3,A.5_DikeIncrease 4,Total_period_Costs_0,Total_period_Costs_1,Expected Annual Damage A4_,Expected Annual Damage A5_,Total Costs,Expected Number of Deaths_,scenario_name
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,4,0,0,0,0,5,0,0,1,0,5,0,0,0,0,189776855.4587686,13812822.639855493,770682.0089473858,3872985.350413679,342283013.4100622,0.0936665908829064,good_scen
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,0,0,5,0,0,0,0,193804026.2328025,12468763.081841497,3814470.704323703,0.0,299905646.15206695,0.0944622097352258,good_scen
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,3,0,0,0,0,5,1,2,0,0,5,0,0,0,0,182382085.57298392,53814104.662937455,269925.3964968324,8099576.302141316,377688979.5425916,0.0974020398983688,good_scen
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,4,0,0,0,0,6,0,0,0,0,5,0,0,0,0,192914158.3937894,15432439.262352644,0.0,0.0,309640819.8921918,0.1116583571665898,good_scen
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,2,0,0,0,0,3,0,0,0,0,5,0,0,2,0,5,0,0,0,0,182382989.40880316,44348587.57243739,772444.4781079402,3893557.3828156185,366216876.8737506,0.0110054468130803,good_scen
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,4,0,0,0,0,5,0,1,0,0,5,0,0,0,0,189776855.4587686,13812822.639855493,538619.0276035066,5809478.025620518,343987443.1039252,0.0964951768846014,good_scen
0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,1,0,5,0,0,0,0,180934661.35116184,12468763.081841497,2844855.608922796,0.0,377896715.3048305,0.0936327965548037,good_scen
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,4,0,0,0,0,5,0,1,0,0,5,0,0,0,0,191665781.5950675,15701748.7761544,538619.0276035066,0.0,316138858.7021699,0.1120887187543408,good_scen
0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,5,0,0,0,0,4,0,0,0,0,5,0,0,0,0,181570180.1356592,10709264.278036334,3814470.704323703,0.0,365963841.0168181,0.0715050804627333,good_scen
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,1,0,0,5,0,0,0,0,193804026.2328025,12468763.081841497,2360048.0612223423,0.0,305681272.63877064,0.0932180899645927,good_scen
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,5,0,0,0,0,4,0,1,1,0,5,0,0,0,0,191490344.10026905,14504870.017142836,1895922.098534584,3852179.484837246,321532373.8100458,0.0962289175241868,good_scen
0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,6,0,0,5,0,0,0,0,180935455.76946568,12469557.500145337,1663859.1171907042,0.0,383886461.17178833,0.0138858821374449,good_scen
0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,1,0,0,6,0,0,0,0,171280357.35693496,14370509.411477406,2360048.0612223423,0.0,459175653.19172585,0.0367177349983973,good_scen
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,4,0,0,0,0,5,0,0,0,0,5,0,0,0,0,192726056.3757994,10017216.90074899,1234807.9716351442,0.0,320738666.1196025,0.0676638345277199,good_scen
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,1,0,0,5,0,0,0,0,190855355.9653673,16264899.470543528,2360048.0612223423,0.0,316342222.89325124,0.0408829227539001,good_scen
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,4,0,0,0,0,5,0,0,1,1,5,0,1,0,0,192726056.3757994,10017216.90074899,770682.0089473858,0.0,365101688.6308556,0.067233472939969,good_scen
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,1,0,0,5,0,0,0,0,189274706.3496529,15516020.62168482,538619.0276035066,0.0,343782279.63759017,0.0130949302395983,good_scen
