epsilon_progress,nfe
0,0
5,100
17,1193
36,2286
46,3383
50,4472
59,5544
70,6547
75,7582
75,8590
75,9590
75,10658
75,11686
75,12749
75,13785
75,14844
75,15891
75,16928
75,17952
75,19006
75,20060
75,21083
75,22099
75,23156
75,24188
75,25041
0,0
3,100
3,1196
8,2292
26,3389
35,4483
38,5526
38,6530
38,7571
38,8575
38,9631
38,10664
38,11729
38,12732
38,13790
38,14827
38,15868
38,16906
38,17942
38,18991
38,20001
38,21023
38,22028
38,23095
38,24101
38,25043
0,0
4,100
16,1195
28,2289
37,3381
43,4468
44,5515
44,6525
44,7529
44,8538
44,9582
44,10612
44,11619
44,12679
44,13693
44,14704
44,15763
44,16783
44,17806
44,18815
44,19863
44,20896
44,21922
44,22931
44,23965
44,24993
44,25068
0,0
5,100
14,1199
29,2295
36,3394
45,4490
50,5556
55,6582
57,7603
57,8625
57,9661
57,10710
57,11719
57,12738
57,13766
57,14785
57,15808
57,16823
57,17827
57,18903
57,19946
57,20985
57,22039
57,23084
57,24164
57,25036
0,0
2,100
13,1195
24,2292
34,3384
44,4475
50,5521
51,6532
51,7543
51,8616
51,9663
51,10706
51,11721
51,12724
51,13773
51,14810
51,15853
51,16853
51,17896
51,18908
51,19983
51,21023
51,22061
51,23070
51,24072
51,25049
