0_RfR 0,0_RfR 1,0_RfR 2,0_RfR 3,0_RfR 4,1_RfR 0,1_RfR 1,1_RfR 2,1_RfR 3,1_RfR 4,2_RfR 0,2_RfR 1,2_RfR 2,2_RfR 3,2_RfR 4,3_RfR 0,3_RfR 1,3_RfR 2,3_RfR 3,3_RfR 4,4_RfR 0,4_RfR 1,4_RfR 2,4_RfR 3,4_RfR 4,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.1_DikeIncrease 3,A.1_DikeIncrease 4,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.2_DikeIncrease 3,A.2_DikeIncrease 4,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.3_DikeIncrease 3,A.3_DikeIncrease 4,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.4_DikeIncrease 3,A.4_DikeIncrease 4,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.5_DikeIncrease 3,A.5_DikeIncrease 4,Total_period_Costs_0,Total_period_Costs_1,Total_period_Costs_2,Expected Annual Damage A4_,Expected Annual Damage A5_,Total Costs,Expected Number of Deaths_
1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,4,9,8,5,5,10,7,0,10,4,2,3,6,3,5,9,4,7,3,1,0,10,7,5,7,7,335249666.6506467,300724188.557436,633775967.2500733,0.0,0.0,2875432121.8676558,0.0
1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,4,7,3,3,7,1,7,1,3,10,9,6,4,3,3,6,4,3,7,10,1,5,1,3,1,8,425025122.1481718,204179533.18627515,703412575.5839813,0.0,0.0,2152652985.5620837,0.0
0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,2,0,4,2,0,0,2,10,0,5,3,1,1,3,6,0,4,2,0,8,7,4,0,3,3,7,354690015.21818066,335571025.2408232,187811997.59008557,0.0,0.0,1753205570.722642,0.0
1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,7,0,8,5,9,1,0,2,7,9,3,7,5,4,2,10,0,10,7,3,5,0,4,7,3,642824317.8608357,123332089.6681804,454918581.7562393,0.0,0.0,2866503488.3686085,0.0008845390070228518
0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,8,5,5,6,4,4,7,9,2,7,4,5,10,7,4,9,8,5,0,9,0,6,9,0,183084234.51174247,345999169.5360958,290058462.6841823,0.0,0.0,2515475548.7422466,0.0
0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,8,5,2,6,4,2,9,3,8,8,5,8,7,9,8,3,10,10,5,10,8,10,7,7,8,326033010.31472814,340334527.73527426,784926818.3748274,0.0,0.0,2819309497.8534675,0.0
0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,3,0,4,0,1,10,1,5,10,4,0,6,5,2,3,8,3,1,5,1,2,0,3,2,1,8,106845115.38931268,181861592.19429737,312299598.1788974,0.0,27861737.279566735,1811953617.6037426,0.004621514085491608
1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,9,1,8,0,2,7,0,2,5,5,7,6,1,10,4,7,10,10,4,10,2,6,1,5,2,793141254.5486772,274026661.83579135,291905426.1949847,0.0,0.0,2331829004.468213,0.0
0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,4,8,6,3,7,1,10,7,7,3,6,2,6,3,4,6,9,3,4,8,8,2,2,8,404172379.7816669,329969636.9565084,606889144.8426578,0.0,0.0,3183070747.9922786,0.0
1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,6,6,1,0,8,6,10,0,4,3,10,6,10,9,3,7,9,7,4,4,1,2,0,4,0,664576302.5204545,630447653.466522,179737219.2949409,0.0,0.0,2776628680.0271215,0.0
0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,4,6,3,4,7,10,5,7,2,0,10,8,1,7,0,4,8,6,7,7,5,8,0,5,1,5,629985072.1137463,296792699.7182977,494445964.0666392,0.0,0.0,3000320022.7706156,0.0
